Unnamed: 0,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,song_name
66,Midnights,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,81,maroon
67,Midnights,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,92,anti-hero
68,Midnights,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,79,snow on the beach
69,Midnights,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,84,"you're on your own, kid"
70,Midnights,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,85,midnight rain
71,Midnights,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,0.0,0.296,-8.763,0.167,108.943,0.106,75,question...?
72,Midnights,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,81,vigilante shit
73,Midnights,9,3qoftcUZaUOncvIYjFSPdE,spotify:track:3qoftcUZaUOncvIYjFSPdE,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,84,bejeweled
74,Midnights,10,0A1JLUlkZkp2EFrosoNQi0,spotify:track:0A1JLUlkZkp2EFrosoNQi0,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,75,labyrinth
75,Midnights,11,7KokYm8cMIXCsGVmUvKtqf,spotify:track:7KokYm8cMIXCsGVmUvKtqf,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,89,karma
76,Midnights,12,0wavGRldH0AWyu2zvTz8zb,spotify:track:0wavGRldH0AWyu2zvTz8zb,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,0.39,77,sweet nothing
77,Midnights,13,7FmYn9e7KHMXcxqGSj9LjH,spotify:track:7FmYn9e7KHMXcxqGSj9LjH,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,78,mastermind
78,Red (Taylor's Version),1,6lzc0Al0zfZOIFsFvBS1ki,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,72,state of grace
79,Red (Taylor's Version),2,4OAuvHryIVv4kMDNSLuPt6,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,81,red
80,Red (Taylor's Version),3,3S7HNKPakdwNEBFIVTL6dZ,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,73,treacherous
81,Red (Taylor's Version),4,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,80,i knew you were trouble
82,Red (Taylor's Version),5,3nsfB1vus2qaloUdcBZvDu,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,78,all too well
83,Red (Taylor's Version),6,3yII7UwgLF6K5zW3xad3MP,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,79,22
84,Red (Taylor's Version),7,2r9CbjYgFhtAmcFv1cSquB,spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,71,i almost do
